ground_truth:黑AH3333, recognition_res:辽AH8888, cor_num:2/7, 1/100
ground_truth:甘ACM426, recognition_res:甘ACM426, cor_num:7/7, 41/100
ground_truth:豫MW9635, recognition_res:豫MW9635, cor_num:7/7, 42/100
ground_truth:陕CGD290, recognition_res:陕CGD290, cor_num:7/7, 43/100
ground_truth:鄂K9M555, recognition_res:鄂K9M555, cor_num:7/7, 44/100
ground_truth:云DSB520, recognition_res:云DSB520, cor_num:7/7, 45/100
ground_truth:粤A2Y222, recognition_res:粤A2Y222, cor_num:7/7, 46/100
ground_truth:鄂AA8532, recognition_res:鄂AA8532, cor_num:7/7, 47/100
ground_truth:辽AQ6493, recognition_res:辽A06493, cor_num:6/7, 48/100
ground_truth:甘ACM426, recognition_res:甘ACM426, cor_num:7/7, 49/100
ground_truth:豫MW9635, recognition_res:豫MW9635, cor_num:7/7, 50/100
ground_truth:辽AQ6493, recognition_res:辽A06493, cor_num:6/7, 51/100
ground_truth:云AMP526, recognition_res:云AMPF26, cor_num:6/7, 52/100
ground_truth:京NGT970, recognition_res:京NGT970, cor_num:7/7, 53/100
ground_truth:粤AAC044, recognition_res:粤AAC044, cor_num:7/7, 54/100
ground_truth:辽B2723L, recognition_res:辽B2723L, cor_num:7/7, 55/100
ground_truth:云DMW666, recognition_res:云DMW666, cor_num:7/7, 56/100
ground_truth:辽BE8206, recognition_res:津BE8206, cor_num:6/7, 57/100
ground_truth:苏EA78M7, recognition_res:苏EA78M7, cor_num:7/7, 58/100
ground_truth:鄂K9M555, recognition_res:鄂K9M555, cor_num:7/7, 59/100
ground_truth:辽B9979B, recognition_res:辽B9979B, cor_num:7/7, 60/100
ground_truth:苏A9YP07, recognition_res:苏A9YP07, cor_num:7/7, 61/100
ground_truth:鲁A70Q63, recognition_res:贵A70063, cor_num:5/7, 62/100
ground_truth:桂AVN999, recognition_res:桂AVN999, cor_num:7/7, 63/100
ground_truth:豫A5202B, recognition_res:豫A5202B, cor_num:7/7, 64/100
ground_truth:豫M00000, recognition_res:津M000008, cor_num:6/7, 65/100
ground_truth:晋AAS99, recognition_res:晋AAS999, cor_num:7/7, 66/100
ground_truth:鄂AEB506, recognition_res:鄂AEB506, cor_num:7/7, 67/100
ground_truth:豫MW9635, recognition_res:豫MW9635, cor_num:7/7, 68/100
ground_truth:琼A99999, recognition_res:琼A99999, cor_num:7/7, 69/100
ground_truth:桂AVN999, recognition_res:桂AVN999, cor_num:7/7, 70/100
ground_truth:沪A735V5, recognition_res:沪A735V5, cor_num:7/7, 71/100
ground_truth:桂K44444, recognition_res:桂K44444, cor_num:7/7, 72/100
ground_truth:京H99999, recognition_res:京H99999, cor_num:7/7, 73/100
ground_truth:苏E2J3Y2, recognition_res:苏E2J3Y2, cor_num:7/7, 74/100
ground_truth:粤A2Y222, recognition_res:粤A2Y222, cor_num:7/7, 75/100
ground_truth:黑G77777, recognition_res:湘G77777, cor_num:6/7, 76/100
ground_truth:鄂AEB506, recognition_res:鄂AEB506, cor_num:7/7, 77/100
ground_truth:鄂A85044, recognition_res:鄂AB5D44, cor_num:5/7, 78/100
ground_truth:辽B9979B, recognition_res:辽B99798, cor_num:6/7, 79/100
ground_truth:辽BSM939, recognition_res:辽BSM939, cor_num:7/7, 80/100
ground_truth:京H99999, recognition_res:京H99999, cor_num:7/7, 81/100
ground_truth:粤CXE592, recognition_res:粤CXE592, cor_num:7/7, 82/100
ground_truth:湘AYN355, recognition_res:湘AYN355, cor_num:7/7, 83/100
ground_truth:琼A99999, recognition_res:琼A99999, cor_num:7/7, 84/100
ground_truth:云DSB520, recognition_res:云DSB520, cor_num:7/7, 85/100
ground_truth:苏D22022, recognition_res:贵D220221, cor_num:6/7, 86/100
ground_truth:辽B0516, recognition_res:辽BD5W6B, cor_num:5/7, 87/100
ground_truth:桂AVN999, recognition_res:桂AVN999, cor_num:7/7, 88/100
ground_truth:皖A45277, recognition_res:皖A45277, cor_num:7/7, 89/100
ground_truth:豫M00000, recognition_res:津M00000, cor_num:6/7, 90/100
ground_truth:辽CL8765, recognition_res:辽CL8765, cor_num:7/7, 91/100
ground_truth:京H99999, recognition_res:京H99999, cor_num:7/7, 92/100
ground_truth:辽B5776C, recognition_res:辽B5ZZ6C, cor_num:5/7, 93/100
ground_truth:辽B2723L, recognition_res:辽82723L, cor_num:6/7, 94/100
ground_truth:苏AL926V, recognition_res:苏AL926V, cor_num:7/7, 95/100
ground_truth:鲁A70Q63, recognition_res:贵A70063, cor_num:5/7, 96/100
ground_truth:桂AVN999, recognition_res:桂AVN999, cor_num:7/7, 97/100
ground_truth:鄂AA8532, recognition_res:鄂AA8532, cor_num:7/7, 98/100
ground_truth:赣B2B250, recognition_res:赣B2B250, cor_num:7/7, 99/100
ground_truth:陕CGD290, recognition_res:陕CGD290, cor_num:7/7, 100/100

char_acc: 90.29% 
lincese_acc: 69.00%
 total_time_cost: 683s every_img_time_cost: 6.83s
